class_code,date,active_vegetation_endmembers,candidate_ids,reviewed_at
"02","2017-01-01","EM02|EM04","TCAMZ_C02_D20170101_PPI_EM02|TCAMZ_C02_D20170101_PPI_EM04","2026-08-15T20:43:40.661Z"
"02","2017-01-17","EM01","TCAMZ_C02_D20170117_PPI_EM01","2026-08-15T20:41:08.925Z"
"02","2017-02-02","EM01|EM03","TCAMZ_C02_D20170202_PPI_EM01|TCAMZ_C02_D20170202_PPI_EM03","2026-08-15T20:41:12.869Z"
"02","2017-02-18","EM02","TCAMZ_C02_D20170218_PPI_EM02","2026-08-15T20:41:14.293Z"
"02","2017-03-06","EM02","TCAMZ_C02_D20170306_PPI_EM02","2026-08-15T20:41:21.037Z"
"02","2017-03-22","EM03|EM04","TCAMZ_C02_D20170322_PPI_EM03|TCAMZ_C02_D20170322_PPI_EM04","2026-08-15T20:41:32.805Z"
"02","2017-04-07","EM02","TCAMZ_C02_D20170407_PPI_EM02","2026-08-15T20:41:38.429Z"
"02","2017-04-23","EM03|EM04","TCAMZ_C02_D20170423_PPI_EM03|TCAMZ_C02_D20170423_PPI_EM04","2026-08-15T20:42:53.133Z"
"02","2017-05-09","EM02|EM03","TCAMZ_C02_D20170509_PPI_EM02|TCAMZ_C02_D20170509_PPI_EM03","2026-08-15T20:43:11.861Z"
"02","2017-05-25","EM03","TCAMZ_C02_D20170525_PPI_EM03","2026-08-15T20:43:16.477Z"
"02","2017-06-10","EM01","TCAMZ_C02_D20170610_PPI_EM01","2026-08-15T20:43:18.525Z"
"02","2017-06-26","EM04","TCAMZ_C02_D20170626_PPI_EM04","2026-08-15T20:43:21.253Z"
"02","2017-07-12","EM04","TCAMZ_C02_D20170712_PPI_EM04","2026-08-15T20:43:22.917Z"
"02","2017-07-28","EM04","TCAMZ_C02_D20170728_PPI_EM04","2026-08-15T20:43:23.989Z"
"02","2017-08-13","EM03","TCAMZ_C02_D20170813_PPI_EM03","2026-08-15T20:43:25.069Z"
"02","2017-08-29","EM03","TCAMZ_C02_D20170829_PPI_EM03","2026-08-15T20:43:25.941Z"
"02","2017-09-14","EM02","TCAMZ_C02_D20170914_PPI_EM02","2026-08-15T20:43:27.157Z"
"02","2017-09-30","EM02","TCAMZ_C02_D20170930_PPI_EM02","2026-08-15T20:44:28.941Z"
"02","2017-10-16","EM03","TCAMZ_C02_D20171016_PPI_EM03","2026-08-15T20:44:31.381Z"
"02","2017-11-01","EM04","TCAMZ_C02_D20171101_PPI_EM04","2026-08-15T20:44:33.645Z"
"02","2017-11-17","EM04","TCAMZ_C02_D20171117_PPI_EM04","2026-08-15T20:44:35.452Z"
"02","2017-12-03","EM04","TCAMZ_C02_D20171203_PPI_EM04","2026-08-15T20:44:36.108Z"
"02","2017-12-19","EM03","TCAMZ_C02_D20171219_PPI_EM03","2026-08-15T20:44:38.628Z"
"02","2018-01-01","EM03","TCAMZ_C02_D20180101_PPI_EM03","2026-08-15T20:44:39.509Z"
"02","2018-01-17","EM04","TCAMZ_C02_D20180117_PPI_EM04","2026-08-15T20:44:40.444Z"
"02","2018-02-02","EM02","TCAMZ_C02_D20180202_PPI_EM02","2026-08-15T20:44:41.637Z"
"02","2018-02-18","EM04","TCAMZ_C02_D20180218_PPI_EM04","2026-08-15T20:44:46.092Z"
"02","2018-03-06","EM02","TCAMZ_C02_D20180306_PPI_EM02","2026-08-15T20:44:49.077Z"
"02","2018-03-22","EM01","TCAMZ_C02_D20180322_PPI_EM01","2026-08-15T20:44:50.244Z"
"02","2018-04-07","EM03","TCAMZ_C02_D20180407_PPI_EM03","2026-08-15T20:44:55.908Z"
"02","2018-04-23","NENHUM","","2026-08-15T20:44:57.501Z"
"02","2018-05-09","EM03","TCAMZ_C02_D20180509_PPI_EM03","2026-08-15T20:45:05.260Z"
"02","2018-05-25","EM01","TCAMZ_C02_D20180525_PPI_EM01","2026-08-15T20:45:09.301Z"
"02","2018-06-10","EM03","TCAMZ_C02_D20180610_PPI_EM03","2026-08-15T20:45:10.604Z"
"02","2018-06-26","EM03","TCAMZ_C02_D20180626_PPI_EM03","2026-08-15T20:45:13.157Z"
"02","2018-07-12","EM03","TCAMZ_C02_D20180712_PPI_EM03","2026-08-15T20:45:16.260Z"
"02","2018-07-28","NENHUM","","2026-08-15T20:45:21.092Z"
"02","2018-08-13","EM03","TCAMZ_C02_D20180813_PPI_EM03","2026-08-15T20:45:23.788Z"
"02","2018-08-29","EM03","TCAMZ_C02_D20180829_PPI_EM03","2026-08-15T20:45:24.805Z"
"02","2018-09-14","NENHUM","","2026-08-15T20:45:25.773Z"
"02","2018-09-30","EM04","TCAMZ_C02_D20180930_PPI_EM04","2026-08-15T20:45:28.556Z"
"02","2018-10-16","EM03","TCAMZ_C02_D20181016_PPI_EM03","2026-08-15T20:45:29.788Z"
"02","2018-11-01","EM03|EM04","TCAMZ_C02_D20181101_PPI_EM03|TCAMZ_C02_D20181101_PPI_EM04","2026-08-15T20:45:31.548Z"
