class_code,date,active_vegetation_endmembers,candidate_ids,reviewed_at
"09","2017-01-01","EM03","TCAMZ_C09_D20170101_PPI_EM03","2026-08-15T21:11:57.232Z"
"09","2017-01-17","EM03","TCAMZ_C09_D20170117_PPI_EM03","2026-08-15T21:12:04.879Z"
"09","2017-02-18","EM03|EM04","TCAMZ_C09_D20170218_PPI_EM03|TCAMZ_C09_D20170218_PPI_EM04","2026-08-15T21:11:02.920Z"
"09","2017-03-06","EM02","TCAMZ_C09_D20170306_PPI_EM02","2026-08-15T20:56:24.178Z"
"09","2017-03-22","EM01","TCAMZ_C09_D20170322_PPI_EM01","2026-08-15T20:56:25.762Z"
"09","2017-04-07","EM02|EM04","TCAMZ_C09_D20170407_PPI_EM02|TCAMZ_C09_D20170407_PPI_EM04","2026-08-15T20:56:33.802Z"
"09","2017-04-23","EM02|EM04","TCAMZ_C09_D20170423_PPI_EM02|TCAMZ_C09_D20170423_PPI_EM04","2026-08-15T20:56:35.362Z"
"09","2017-05-09","EM01","TCAMZ_C09_D20170509_PPI_EM01","2026-08-15T20:56:36.866Z"
"09","2017-05-25","EM03|EM04","TCAMZ_C09_D20170525_PPI_EM03|TCAMZ_C09_D20170525_PPI_EM04","2026-08-15T20:56:40.218Z"
"09","2017-06-10","EM02","TCAMZ_C09_D20170610_PPI_EM02","2026-08-15T20:56:41.506Z"
"09","2017-06-26","EM04","TCAMZ_C09_D20170626_PPI_EM04","2026-08-15T20:56:43.186Z"
"09","2017-07-12","EM02","TCAMZ_C09_D20170712_PPI_EM02","2026-08-15T20:56:45.522Z"
"09","2017-07-28","EM01","TCAMZ_C09_D20170728_PPI_EM01","2026-08-15T20:56:46.498Z"
"09","2017-08-13","EM03","TCAMZ_C09_D20170813_PPI_EM03","2026-08-15T20:56:49.050Z"
"09","2017-08-29","EM01","TCAMZ_C09_D20170829_PPI_EM01","2026-08-15T20:56:50.002Z"
"09","2017-09-14","EM02","TCAMZ_C09_D20170914_PPI_EM02","2026-08-15T20:56:51.666Z"
"09","2017-09-30","EM03","TCAMZ_C09_D20170930_PPI_EM03","2026-08-15T20:56:52.898Z"
"09","2017-10-16","EM03","TCAMZ_C09_D20171016_PPI_EM03","2026-08-15T20:56:54.002Z"
"09","2017-11-01","EM02","TCAMZ_C09_D20171101_PPI_EM02","2026-08-15T20:56:55.642Z"
"09","2017-11-17","NENHUM","","2026-08-15T20:56:56.746Z"
"09","2017-12-03","EM03","TCAMZ_C09_D20171203_PPI_EM03","2026-08-15T20:56:58.298Z"
"09","2017-12-19","EM04","TCAMZ_C09_D20171219_PPI_EM04","2026-08-15T20:57:02.050Z"
"09","2018-01-01","NENHUM","","2026-08-15T20:57:03.050Z"
"09","2018-01-17","EM02","TCAMZ_C09_D20180117_PPI_EM02","2026-08-15T20:57:04.090Z"
"09","2018-02-02","EM02","TCAMZ_C09_D20180202_PPI_EM02","2026-08-15T20:57:04.866Z"
"09","2018-02-18","EM01","TCAMZ_C09_D20180218_PPI_EM01","2026-08-15T20:57:07.034Z"
"09","2018-03-06","EM01","TCAMZ_C09_D20180306_PPI_EM01","2026-08-15T20:57:07.914Z"
"09","2018-03-22","EM03","TCAMZ_C09_D20180322_PPI_EM03","2026-08-15T20:57:08.794Z"
"09","2018-04-07","EM01","TCAMZ_C09_D20180407_PPI_EM01","2026-08-15T20:57:09.802Z"
"09","2018-04-23","EM03","TCAMZ_C09_D20180423_PPI_EM03","2026-08-15T20:57:11.530Z"
"09","2018-05-09","EM03","TCAMZ_C09_D20180509_PPI_EM03","2026-08-15T20:57:17.146Z"
"09","2018-05-25","EM03|EM04","TCAMZ_C09_D20180525_PPI_EM03|TCAMZ_C09_D20180525_PPI_EM04","2026-08-15T20:57:18.538Z"
